Episode 3570, Reward: -28.96, Step: 23739
Episode 3571, Reward: -26.81, Step: 23749
Episode 3572, Reward: -33.05, Step: 23763
Episode 3573, Reward: -29.42, Step: 23775
Episode 3574, Reward: -33.32, Step: 23783
Episode 3575, Reward: -35.45, Step: 23789
Episode 3576, Reward: -37.52, Step: 23797
Episode 3577, Reward: -35.21, Step: 23803
Episode 3578, Reward: -31.57, Step: 23810
Episode 3579, Reward: -26.70, Step: 23823
Episode 3580, Reward: -29.76, Step: 23834
Episode 3581, Reward: -31.17, Step: 23844
Episode 3582, Reward: -36.25, Step: 23851
Episode 3583, Reward: -33.50, Step: 23857
Episode 3584, Reward: -35.50, Step: 23863
Episode 3585, Reward: -34.27, Step: 23872
Episode 3586, Reward: -29.99, Step: 23879
Episode 3587, Reward: -36.09, Step: 23887
Episode 3588, Reward: -33.80, Step: 23894
Episode 3589, Reward: -35.12, Step: 23899
Episode 3590, Reward: -43.09, Step: 23905
Episode 3591, Reward: -37.97, Step: 23910
Episode 3592, Reward: -33.34, Step: 23922
Episode 3593, Reward: -53.88, Step: 23928
Episode 3594, Reward: -31.90, Step: 23940
Episode 3595, Reward: -32.08, Step: 23954
Episode 3596, Reward: -39.43, Step: 23964
Episode 3597, Reward: -52.83, Step: 23970
Episode 3598, Reward: -31.30, Step: 23978
Episode 3599, Reward: -30.75, Step: 23985
Episode 3600, Reward: -32.00, Step: 23994
Episode 3601, Reward: -28.52, Step: 24007
Episode 3602, Reward: -37.12, Step: 24013
Episode 3603, Reward: -28.78, Step: 24023
Episode 3604, Reward: -32.43, Step: 24031
Episode 3605, Reward: -30.43, Step: 24039
Episode 3606, Reward: -30.73, Step: 24046
Episode 3607, Reward: -32.88, Step: 24055
Episode 3608, Reward: -31.97, Step: 24066
Episode 3609, Reward: -40.75, Step: 24073
Episode 3610, Reward: -33.38, Step: 24080
Episode 3611, Reward: -45.84, Step: 24091
Episode 3612, Reward: -28.12, Step: 24104
Episode 3613, Reward: -56.17, Step: 24110
Episode 3614, Reward: -31.46, Step: 24118
Episode 3615, Reward: -48.64, Step: 24126
Episode 3616, Reward: -54.97, Step: 24133
Episode 3617, Reward: -36.59, Step: 24141
Episode 3618, Reward: -32.46, Step: 24148
Episode 3619, Reward: -38.99, Step: 24155
Episode 3620, Reward: -24.90, Step: 24178
Episode 3621, Reward: -33.23, Step: 24184
Episode 3622, Reward: -52.31, Step: 24192
Episode 3623, Reward: -29.68, Step: 24203
Episode 3624, Reward: -32.19, Step: 24220
Episode 3625, Reward: -30.07, Step: 24230
Episode 3626, Reward: -30.08, Step: 24239
Episode 3627, Reward: -30.34, Step: 24248
Episode 3628, Reward: -29.09, Step: 24260
Episode 3629, Reward: -34.38, Step: 24266
Episode 3630, Reward: -30.25, Step: 24282
Episode 3631, Reward: -31.14, Step: 24289
Episode 3632, Reward: -35.15, Step: 24296
Episode 3633, Reward: -34.88, Step: 24303
Episode 3634, Reward: -31.31, Step: 24311
Episode 3635, Reward: -33.67, Step: 24318
Episode 3636, Reward: -37.89, Step: 24327
Episode 3637, Reward: -31.77, Step: 24335
Episode 3638, Reward: -32.32, Step: 24343
Episode 3639, Reward: -32.26, Step: 24353
Episode 3640, Reward: -35.58, Step: 24362
Episode 3641, Reward: -55.56, Step: 24371
Episode 3642, Reward: -34.01, Step: 24377
Episode 3643, Reward: -33.46, Step: 24384
Episode 3644, Reward: -32.85, Step: 24395
Episode 3645, Reward: -35.09, Step: 24402
Episode 3646, Reward: -33.13, Step: 24408
Episode 3647, Reward: -33.43, Step: 24414
Episode 3648, Reward: -35.75, Step: 24422
Episode 3649, Reward: -35.00, Step: 24429
Episode 3650, Reward: -24.74, Step: 24440
Episode 3651, Reward: -31.90, Step: 24453
Episode 3652, Reward: -35.41, Step: 24459
Episode 3653, Reward: -31.97, Step: 24465
Episode 3654, Reward: -36.03, Step: 24475
Episode 3655, Reward: -35.51, Step: 24484
Episode 3656, Reward: -31.33, Step: 24490
Episode 3657, Reward: -32.81, Step: 24497
Episode 3658, Reward: -33.75, Step: 24503
Episode 3659, Reward: -35.27, Step: 24510
Episode 3660, Reward: -32.50, Step: 24519
Episode 3661, Reward: -35.40, Step: 24526
Episode 3662, Reward: -13.39, Step: 24549
Episode 3663, Reward: -36.90, Step: 24557
Episode 3664, Reward: -32.23, Step: 24564
Episode 3665, Reward: -33.10, Step: 24571
Episode 3666, Reward: -34.08, Step: 24577
Episode 3667, Reward: -33.10, Step: 24585
Episode 3668, Reward: -35.36, Step: 24591
Episode 3669, Reward: -33.19, Step: 24602
Episode 3670, Reward: -30.26, Step: 24612
Episode 3671, Reward: -30.84, Step: 24619
Episode 3672, Reward: -32.65, Step: 24626
Episode 3673, Reward: -30.38, Step: 24638
Episode 3674, Reward: -34.61, Step: 24644
Episode 3675, Reward: -29.90, Step: 24657
Episode 3676, Reward: -32.91, Step: 24663
Episode 3677, Reward: -32.45, Step: 24670
Episode 3678, Reward: -31.59, Step: 24680
Episode 3679, Reward: -33.48, Step: 24696
